Drug A,Drug B,Cell Line Name,Score
Mitotane,Sirolimus,ACHN,2.6666666666666665
Vinblastine sulfate (hydrate),Everolimus,SW-620,-5.0
Dasatinib,Tretinoin,MCF7,-6.222222222222222
Vinblastine sulfate (hydrate),Cladribine,OVCAR-8,3.4444444444444446
Nilotinib,Tamoxifen citrate,A549/ATCC,-4.5555555555555545
Docetaxel,Sirolimus,HS 578T,-3.111111111111111
Romidepsin,Docetaxel,NCI-H522,-3.333333333333333
Vinblastine sulfate (hydrate),Sirolimus,UO-31,1.6666666666666667
Mitotane,Sirolimus,U251,-7.666666666666668
Docetaxel,Sirolimus,SF-539,3.2222222222222223
Romidepsin,Imatinib mesylate,NCI-H226,-1.5555555555555556
Tamoxifen citrate,Cladribine,UO-31,-2.0
Sorafenib tosylate,Nilotinib,NCI-H226,-5.666666666666668
Fulvestrant,Dasatinib,LOX IMVI,8.555555555555555
Paclitaxel,Tretinoin,SW-620,11.222222222222221
Everolimus,Sirolimus,LOX IMVI,-4.888888888888889
Dasatinib,Docetaxel,HS 578T,-1.0
Dasatinib,Vorinostat,BT-549,-2.4444444444444446
Dasatinib,Imatinib mesylate,NCI-H226,1.3333333333333333
Docetaxel,Paclitaxel,SF-539,6.0
Vinblastine sulfate (hydrate),Sirolimus,MDA-MB-435,0.5555555555555556
Vorinostat,Nilotinib,A498,-6.222222222222222
Fulvestrant,Paclitaxel,IGROV1,-1.8888888888888888
Thalidomide,Sirolimus,SK-MEL-5,-6.5555555555555545
Paclitaxel,Sirolimus,OVCAR-8,3.4444444444444446
Dasatinib,Celecoxib,U251,-2.555555555555556
Vinblastine sulfate (hydrate),Cladribine,HCT-15,-2.888888888888889
Mitotane,Sirolimus,OVCAR-3,-4.777777777777779
Sorafenib tosylate,Imatinib mesylate,SF-539,-12.777777777777779
Tamoxifen citrate,Cladribine,A498,-2.0
Vinblastine sulfate (hydrate),Paclitaxel,NCI-H23,-0.4444444444444444
Nilotinib,Mitotane,SF-295,-10.666666666666666
Everolimus,Cladribine,K-562,-7.4444444444444455
Fulvestrant,Paclitaxel,DU-145,-1.1111111111111112
Imatinib mesylate,Tretinoin,NCI-H226,1.1111111111111112
Mitotane,Dasatinib,NCI-H460,-1.1111111111111112
Mitotane,Sirolimus,SK-OV-3,-5.0
Thalidomide,Cladribine,BT-549,-7.222222222222222
Sorafenib tosylate,Vorinostat,HT29,-3.111111111111111
Thalidomide,Tretinoin,EKVX,1.7777777777777777
Romidepsin,Imatinib mesylate,OVCAR-4,-2.4444444444444446
Vinblastine sulfate (hydrate),Romidepsin,DU-145,-4.666666666666667
Vinblastine sulfate (hydrate),Dasatinib,MDA-MB-231/ATCC,-6.333333333333332
Fulvestrant,Nilotinib,MDA-MB-231/ATCC,-6.666666666666668
Mitotane,Nilotinib,IGROV1,0.0
Mitotane,Cladribine,A549/ATCC,-13.0
Everolimus,Tretinoin,UACC-62,0.4444444444444444
Fulvestrant,Paclitaxel,UACC-257,-2.555555555555556
Dasatinib,Paclitaxel,LOX IMVI,9.111111111111107
Sorafenib tosylate,Tamoxifen citrate,A498,-10.888888888888893
Cladribine,Celecoxib,SF-539,-10.111111111111107
Dasatinib,Sirolimus,SF-539,-7.222222222222222
Dasatinib,Docetaxel,SK-MEL-28,-0.4444444444444444
Nilotinib,Tretinoin,HOP-92,0.7777777777777778
Fulvestrant,Cladribine,HCT-15,2.6666666666666665
Everolimus,Celecoxib,SW-620,-2.0
Everolimus,Romidepsin,RPMI-8226,3.111111111111111
Imatinib mesylate,Tamoxifen citrate,KM12,-1.8888888888888888
Quinacrine hydrochloride,Cladribine,IGROV1,-1.8888888888888888
Docetaxel,Cladribine,T-47D,-12.0
Dasatinib,Nilotinib,LOX IMVI,-10.222222222222221
Everolimus,Imatinib mesylate,MCF7,-5.777777777777778
Vinblastine sulfate (hydrate),Romidepsin,UACC-257,-3.0
Quinacrine hydrochloride,Tretinoin,SK-MEL-5,-1.4444444444444444
Romidepsin,Vinblastine sulfate (hydrate),OVCAR-4,-0.8888888888888888
Docetaxel,Tamoxifen citrate,HCT-116,31.777777777777786
Dasatinib,Imatinib mesylate,SF-268,-1.8888888888888888
Vorinostat,Tamoxifen citrate,OVCAR-8,-8.666666666666666
Tamoxifen citrate,Tretinoin,NCI-H522,-4.777777777777779
Everolimus,Romidepsin,SW-620,0.2222222222222222
Fulvestrant,Tamoxifen citrate,HT29,7.4444444444444455
Imatinib mesylate,Cladribine,SK-OV-3,-2.7777777777777777
Sorafenib tosylate,Docetaxel,SF-295,7.1111111111111125
Dasatinib,Tamoxifen citrate,A549/ATCC,3.7777777777777777
Docetaxel,Vinblastine sulfate (hydrate),SK-MEL-28,0.6666666666666666
Thalidomide,Paclitaxel,MCF7,-1.3333333333333333
Everolimus,Sirolimus,KM12,-4.5555555555555545
Mitotane,Tretinoin,LOX IMVI,-9.888888888888893
Romidepsin,Imatinib mesylate,MALME-3M,-12.0
Mitotane,Paclitaxel,PC-3,0.1111111111111111
Quinacrine hydrochloride,Paclitaxel,HOP-62,-2.7777777777777777
Everolimus,Sirolimus,SK-MEL-28,-8.333333333333334
Nilotinib,Cladribine,SW-620,-5.0
Mitotane,Cladribine,K-562,-0.8888888888888888
Fulvestrant,Vorinostat,OVCAR-8,-3.555555555555556
Mitotane,Tamoxifen citrate,OVCAR-4,0.7777777777777778
Docetaxel,Celecoxib,HT29,25.0
Romidepsin,Vinblastine sulfate (hydrate),HL-60(TB),-0.3333333333333333
Romidepsin,Nilotinib,OVCAR-4,-10.444444444444443
Romidepsin,Imatinib mesylate,UACC-257,1.5555555555555556
Romidepsin,Paclitaxel,SK-MEL-5,-4.666666666666667
Vinblastine sulfate (hydrate),Everolimus,RPMI-8226,-0.4444444444444444
Imatinib mesylate,Celecoxib,SK-MEL-28,-9.444444444444443
Paclitaxel,Celecoxib,OVCAR-3,26.11111111111111
Docetaxel,Paclitaxel,NCI-H322M,-22.555555555555557
Sorafenib tosylate,Docetaxel,KM12,17.11111111111111
Sorafenib tosylate,Tretinoin,HT29,2.888888888888889
Imatinib mesylate,Tamoxifen citrate,OVCAR-4,0.6666666666666666
Sirolimus,Nilotinib,NCI-H23,-5.333333333333333
Quinacrine hydrochloride,Mitotane,A498,-3.2222222222222223
Docetaxel,Cladribine,A498,-2.555555555555556
Fulvestrant,Sirolimus,LOX IMVI,0.3333333333333333
Vorinostat,Paclitaxel,SK-MEL-5,-9.888888888888893
Sorafenib tosylate,Docetaxel,HS 578T,27.555555555555557
Fulvestrant,Celecoxib,SF-268,-11.111111111111107
Docetaxel,Cladribine,NCI-H522,-2.1111111111111107
Dasatinib,Sirolimus,A549/ATCC,0.2222222222222222
Romidepsin,Tretinoin,HT29,-5.222222222222221
Sorafenib tosylate,Paclitaxel,DU-145,20.555555555555557
Sorafenib tosylate,Romidepsin,HS 578T,1.0
Quinacrine hydrochloride,Paclitaxel,OVCAR-3,-10.666666666666666
Paclitaxel,Cladribine,A549/ATCC,-4.888888888888889
Romidepsin,Sirolimus,SF-268,-8.333333333333334
Sorafenib tosylate,Vorinostat,A498,-7.666666666666668
Sorafenib tosylate,Dasatinib,MCF7,-4.888888888888889
Imatinib mesylate,Cladribine,MCF7,-7.777777777777778
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),SK-MEL-28,-3.2222222222222223
Fulvestrant,Romidepsin,UACC-62,6.888888888888888
Fulvestrant,Tretinoin,HCT-15,-0.1111111111111111
Vinblastine sulfate (hydrate),Everolimus,BT-549,-2.888888888888889
Fulvestrant,Imatinib mesylate,UO-31,-11.0
Thalidomide,Sirolimus,HOP-92,-2.7777777777777777
Cladribine,Celecoxib,K-562,2.4444444444444446
Vinblastine sulfate (hydrate),Sirolimus,A498,-5.5555555555555545
Sorafenib tosylate,Docetaxel,NCI-H322M,15.777777777777779
Dasatinib,Imatinib mesylate,OVCAR-3,5.222222222222221
Sirolimus,Vinblastine sulfate (hydrate),T-47D,-6.222222222222222
Docetaxel,Tamoxifen citrate,MDA-MB-231/ATCC,25.33333333333333
Fulvestrant,Vorinostat,MALME-3M,-2.888888888888889
Dasatinib,Docetaxel,NCI-H226,-3.6666666666666665
Docetaxel,Tamoxifen citrate,LOX IMVI,33.77777777777778
Vorinostat,Tamoxifen citrate,T-47D,-6.4444444444444455
Nilotinib,Tretinoin,LOX IMVI,-6.777777777777778
Docetaxel,Celecoxib,BT-549,15.444444444444445
Quinacrine hydrochloride,Paclitaxel,SK-MEL-5,-12.555555555555555
Mitotane,Tamoxifen citrate,HOP-62,-8.888888888888891
Paclitaxel,Nilotinib,HS 578T,29.0
Docetaxel,Celecoxib,PC-3,3.7777777777777777
Fulvestrant,Dasatinib,UACC-62,2.1111111111111107
Sorafenib tosylate,Nilotinib,SF-539,-8.777777777777779
Mitotane,Sirolimus,HS 578T,-4.5555555555555545
Dasatinib,Tretinoin,HCT-116,5.0
Vinblastine sulfate (hydrate),Tretinoin,HCT-116,0.0
Paclitaxel,Cladribine,SF-268,-7.555555555555554
Vinblastine sulfate (hydrate),Tamoxifen citrate,UACC-257,13.888888888888893
Vorinostat,Celecoxib,T-47D,-7.333333333333332
Dasatinib,Vorinostat,UACC-62,1.4444444444444444
Sorafenib tosylate,Everolimus,OVCAR-4,-8.222222222222221
Vinblastine sulfate (hydrate),Imatinib mesylate,A498,0.8888888888888888
Sirolimus,Celecoxib,U251,1.0
Mitotane,Cladribine,RPMI-8226,-0.4444444444444444
Thalidomide,Docetaxel,K-562,2.1111111111111107
Vorinostat,Tamoxifen citrate,SK-MEL-28,-14.111111111111107
Imatinib mesylate,Tamoxifen citrate,HT29,12.555555555555555
Fulvestrant,Tretinoin,MALME-3M,1.4444444444444444
Sorafenib tosylate,Dasatinib,SK-MEL-28,-1.1111111111111112
Dasatinib,Docetaxel,HL-60(TB),-1.5555555555555556
Sorafenib tosylate,Romidepsin,PC-3,-3.111111111111111
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),KM12,-3.2222222222222223
Dasatinib,Tamoxifen citrate,KM12,-4.666666666666667
Imatinib mesylate,Celecoxib,SK-MEL-5,-1.0
Fulvestrant,Sirolimus,SF-539,-9.444444444444443
Nilotinib,Tamoxifen citrate,KM12,-10.222222222222221
Romidepsin,Sirolimus,UO-31,1.8888888888888888
Vinblastine sulfate (hydrate),Nilotinib,SK-MEL-5,-5.5555555555555545
Mitotane,Tamoxifen citrate,ACHN,0.2222222222222222
Sorafenib tosylate,Nilotinib,PC-3,-5.333333333333333
Quinacrine hydrochloride,Mitotane,U251,1.2222222222222223
Everolimus,Sirolimus,NCI-H226,1.8888888888888888
Fulvestrant,Sirolimus,NCI-H23,-5.111111111111111
Dasatinib,Tamoxifen citrate,NCI-H522,8.0
Dasatinib,Vorinostat,OVCAR-3,6.777777777777778
Imatinib mesylate,Tretinoin,DU-145,-1.4444444444444444
Sorafenib tosylate,Vorinostat,HCT-116,-6.333333333333332
Romidepsin,Nilotinib,MDA-MB-231/ATCC,-4.888888888888889
Paclitaxel,Celecoxib,UACC-257,3.111111111111111
Nilotinib,Tamoxifen citrate,RPMI-8226,2.4444444444444446
Paclitaxel,Imatinib mesylate,BT-549,16.11111111111111
Vorinostat,Vinblastine sulfate (hydrate),NCI-H460,-3.2222222222222223
Vinblastine sulfate (hydrate),Vorinostat,SK-MEL-28,0.1111111111111111
Paclitaxel,Tretinoin,SK-MEL-5,17.444444444444443
Thalidomide,Paclitaxel,DU-145,-5.222222222222221
Vinblastine sulfate (hydrate),Celecoxib,A498,-2.888888888888889
Docetaxel,Paclitaxel,DU-145,9.777777777777779
Sirolimus,Celecoxib,UACC-257,-4.5555555555555545
Quinacrine hydrochloride,Cladribine,OVCAR-3,1.8888888888888888
Vorinostat,Tretinoin,KM12,-9.555555555555557
Fulvestrant,Everolimus,RPMI-8226,17.666666666666668
Quinacrine hydrochloride,Tretinoin,CAKI-1,-21.555555555555557
Everolimus,Tretinoin,SF-268,-2.6666666666666665
Mitotane,Nilotinib,LOX IMVI,-16.11111111111111
Mitotane,Dasatinib,NCI-H226,1.0
Imatinib mesylate,Cladribine,HOP-62,-7.4444444444444455
Docetaxel,Tretinoin,LOX IMVI,15.444444444444445
Mitotane,Celecoxib,SK-MEL-5,-5.888888888888888
Romidepsin,Tamoxifen citrate,A549/ATCC,2.6666666666666665
Nilotinib,Celecoxib,T-47D,-2.555555555555556
Sirolimus,Tamoxifen citrate,SF-539,2.555555555555556
Nilotinib,Celecoxib,UACC-257,-2.0
Vinblastine sulfate (hydrate),Imatinib mesylate,SF-268,-5.111111111111111
Sorafenib tosylate,Dasatinib,HS 578T,3.888888888888889
Mitotane,Imatinib mesylate,SF-268,-5.222222222222221
Imatinib mesylate,Tretinoin,K-562,-1.5555555555555556
Everolimus,Celecoxib,RPMI-8226,5.333333333333333
Paclitaxel,Imatinib mesylate,NCI-H226,6.1111111111111125
Dasatinib,Celecoxib,HS 578T,8.888888888888891
Vinblastine sulfate (hydrate),Dasatinib,MDA-MB-468,-0.5555555555555556
Dasatinib,Paclitaxel,BT-549,3.6666666666666665
Romidepsin,Imatinib mesylate,KM12,2.333333333333333
Vinblastine sulfate (hydrate),Vorinostat,OVCAR-3,0.6666666666666666
Sorafenib tosylate,Paclitaxel,UACC-257,18.555555555555557
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),PC-3,0.1111111111111111
Imatinib mesylate,Celecoxib,RPMI-8226,-7.222222222222222
Sorafenib tosylate,Sirolimus,HT29,-5.333333333333333
Sorafenib tosylate,Sirolimus,KM12,5.4444444444444455
Romidepsin,Cladribine,NCI-H226,-1.5555555555555556
Tamoxifen citrate,Tretinoin,OVCAR-3,-6.4444444444444455
Sorafenib tosylate,Nilotinib,LOX IMVI,-9.333333333333334
Tamoxifen citrate,Celecoxib,HS 578T,-5.0
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),UACC-257,-2.0
Everolimus,Tamoxifen citrate,IGROV1,3.4444444444444446
Nilotinib,Celecoxib,HS 578T,-5.777777777777778
Sorafenib tosylate,Tretinoin,MALME-3M,0.4444444444444444
Tamoxifen citrate,Tretinoin,UACC-257,-2.888888888888889
Dasatinib,Paclitaxel,MDA-MB-468,-1.2222222222222223
Everolimus,Dasatinib,UACC-257,-5.0
Fulvestrant,Dasatinib,SK-OV-3,0.8888888888888888
Quinacrine hydrochloride,Docetaxel,NCI-H460,2.0
Imatinib mesylate,Celecoxib,SF-539,-2.333333333333333
Romidepsin,Sirolimus,OVCAR-4,-0.5555555555555556
Fulvestrant,Tamoxifen citrate,SK-MEL-5,-0.3333333333333333
Vorinostat,Nilotinib,NCI-H226,-8.666666666666666
Thalidomide,Docetaxel,MCF7,-7.777777777777778
Paclitaxel,Cladribine,LOX IMVI,-4.111111111111111
Tamoxifen citrate,Tretinoin,SK-OV-3,1.4444444444444444
Thalidomide,Tamoxifen citrate,NCI-H226,1.2222222222222223
Nilotinib,Celecoxib,K-562,-16.88888888888889
Vinblastine sulfate (hydrate),Vorinostat,PC-3,1.0
Everolimus,Dasatinib,MDA-MB-468,1.8888888888888888
Fulvestrant,Nilotinib,HCT-15,3.333333333333333
Fulvestrant,Dasatinib,HOP-92,-4.2222222222222205
Nilotinib,Imatinib mesylate,SF-539,-2.1111111111111107
Vorinostat,Romidepsin,NCI-H522,2.4444444444444446
Vinblastine sulfate (hydrate),Cladribine,SF-268,-5.777777777777778
Everolimus,Docetaxel,NCI-H226,2.4444444444444446
Sorafenib tosylate,Imatinib mesylate,MDA-MB-231/ATCC,-3.2222222222222223
Vinblastine sulfate (hydrate),Nilotinib,HOP-62,-6.777777777777778
Nilotinib,Cladribine,A549/ATCC,-10.0
Tretinoin,Celecoxib,NCI-H226,2.4444444444444446
Romidepsin,Docetaxel,HT29,-1.7777777777777777
Vorinostat,Cladribine,NCI-H460,-3.888888888888889
Fulvestrant,Romidepsin,HOP-92,-1.6666666666666667
Vinblastine sulfate (hydrate),Tretinoin,SK-OV-3,1.5555555555555556
Everolimus,Nilotinib,NCI-H460,-2.888888888888889
Sorafenib tosylate,Dasatinib,OVCAR-3,2.7777777777777777
Vorinostat,Tamoxifen citrate,PC-3,-11.0
Nilotinib,Tamoxifen citrate,NCI-H23,-3.7777777777777777
Vinblastine sulfate (hydrate),Everolimus,A498,-3.7777777777777777
Dasatinib,Vorinostat,HT29,-1.8888888888888888
Imatinib mesylate,Tamoxifen citrate,SK-MEL-28,-9.111111111111107
Quinacrine hydrochloride,Cladribine,OVCAR-8,-5.5555555555555545
Sorafenib tosylate,Dasatinib,KM12,-3.555555555555556
Everolimus,Sirolimus,A549/ATCC,4.2222222222222205
Romidepsin,Sirolimus,UACC-257,1.3333333333333333
Romidepsin,Paclitaxel,PC-3,5.888888888888888
Vinblastine sulfate (hydrate),Paclitaxel,MDA-MB-435,0.4444444444444444
Sorafenib tosylate,Nilotinib,MDA-MB-231/ATCC,-2.1111111111111107
Dasatinib,Cladribine,IGROV1,-5.0
Mitotane,Nilotinib,A549/ATCC,-3.0
Vinblastine sulfate (hydrate),Cladribine,NCI-H322M,-10.444444444444443
Everolimus,Docetaxel,SW-620,2.555555555555556
Sorafenib tosylate,Tretinoin,UACC-257,17.22222222222222
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),BT-549,1.6666666666666667
Romidepsin,Paclitaxel,A498,-8.888888888888891
Nilotinib,Mitotane,NCI-H226,-1.6666666666666667
Romidepsin,Tamoxifen citrate,UACC-257,4.333333333333333
Fulvestrant,Vorinostat,EKVX,0.5555555555555556
Paclitaxel,Sirolimus,MALME-3M,8.777777777777779
Tamoxifen citrate,Tretinoin,HOP-62,-26.0
Vorinostat,Docetaxel,K-562,-0.7777777777777778
Sirolimus,Nilotinib,LOX IMVI,-0.8888888888888888
Nilotinib,Tretinoin,SK-OV-3,-7.888888888888887
Fulvestrant,Cladribine,OVCAR-4,1.3333333333333333
Cladribine,Celecoxib,LOX IMVI,-1.2222222222222223
Docetaxel,Imatinib mesylate,MDA-MB-231/ATCC,1.5555555555555556
Fulvestrant,Nilotinib,HS 578T,1.3333333333333333
Mitotane,Tretinoin,HOP-92,0.2222222222222222
Vorinostat,Romidepsin,SW-620,-2.888888888888889
Thalidomide,Sirolimus,HCT-15,-1.5555555555555556
Sorafenib tosylate,Tretinoin,RPMI-8226,-2.4444444444444446
Mitotane,Imatinib mesylate,SK-MEL-28,-5.333333333333333
Fulvestrant,Sirolimus,MCF7,-4.777777777777779
Everolimus,Imatinib mesylate,A549/ATCC,-9.0
Sorafenib tosylate,Vorinostat,NCI-H322M,2.333333333333333
Mitotane,Cladribine,EKVX,-7.777777777777778
Mitotane,Celecoxib,HT29,-6.0
Tamoxifen citrate,Celecoxib,NCI-H226,-9.444444444444443
Romidepsin,Nilotinib,LOX IMVI,-9.666666666666666
Fulvestrant,Paclitaxel,OVCAR-3,-3.7777777777777777
Dasatinib,Sirolimus,LOX IMVI,-3.111111111111111
Sirolimus,Tamoxifen citrate,MDA-MB-231/ATCC,-5.0
Fulvestrant,Vorinostat,MDA-MB-435,-4.5555555555555545
Dasatinib,Cladribine,NCI-H522,-2.2222222222222223
Mitotane,Cladribine,SF-295,-10.111111111111107
Docetaxel,Imatinib mesylate,UACC-257,2.2222222222222223
Vorinostat,Docetaxel,SW-620,-3.111111111111111
Vorinostat,Docetaxel,DU-145,-3.111111111111111
Everolimus,Docetaxel,HCT-116,2.333333333333333
Sorafenib tosylate,Tretinoin,K-562,11.333333333333336
Everolimus,Cladribine,MDA-MB-231/ATCC,-2.6666666666666665
Docetaxel,Sirolimus,LOX IMVI,-0.3333333333333333
Vorinostat,Imatinib mesylate,NCI-H460,-7.777777777777778
Mitotane,Cladribine,SF-539,-1.3333333333333333
Dasatinib,Cladribine,NCI-H322M,-12.111111111111107
Quinacrine hydrochloride,Cladribine,UACC-257,-9.222222222222221
Sirolimus,Celecoxib,MDA-MB-231/ATCC,15.111111111111107
Mitotane,Dasatinib,RPMI-8226,-19.88888888888889
Sorafenib tosylate,Dasatinib,MDA-MB-468,-0.1111111111111111
Fulvestrant,Everolimus,A549/ATCC,25.66666666666667
Sirolimus,Cladribine,A549/ATCC,-6.1111111111111125
Vorinostat,Paclitaxel,NCI-H460,-12.333333333333336
Fulvestrant,Everolimus,SW-620,12.777777777777779
Fulvestrant,Imatinib mesylate,LOX IMVI,-8.888888888888891
Gefitinib,Lenalidomide,UACC-257,0.1111111111111111
Romidepsin,Vinblastine sulfate (hydrate),A549/ATCC,11.111111111111107
Imatinib mesylate,Celecoxib,NCI-H522,-6.1111111111111125
Romidepsin,Paclitaxel,KM12,4.777777777777779
Thalidomide,Tretinoin,RPMI-8226,-20.0
Vinblastine sulfate (hydrate),Dasatinib,NCI-H23,3.0
Everolimus,Tamoxifen citrate,MDA-MB-231/ATCC,-6.1111111111111125
Fulvestrant,Vorinostat,SK-MEL-5,-1.0
Sirolimus,Celecoxib,A549/ATCC,3.0
Paclitaxel,Cladribine,A498,-2.6666666666666665
Sirolimus,Vinblastine sulfate (hydrate),NCI-H226,-1.0
Docetaxel,Paclitaxel,K-562,-3.888888888888889
Mitotane,Everolimus,A549/ATCC,3.4444444444444446
Nilotinib,Celecoxib,RPMI-8226,-2.888888888888889
Docetaxel,Celecoxib,HCT-116,11.666666666666664
Fulvestrant,Everolimus,HCT-15,12.444444444444445
Mitotane,Tamoxifen citrate,DU-145,-8.444444444444445
Nilotinib,Imatinib mesylate,SF-268,-7.666666666666668
Docetaxel,Tamoxifen citrate,OVCAR-8,30.66666666666667
Everolimus,Vorinostat,SF-268,-1.6666666666666667
Sorafenib tosylate,Vorinostat,MDA-MB-435,-2.555555555555556
Mitotane,Tretinoin,NCI-H460,1.1111111111111112
Fulvestrant,Cladribine,MDA-MB-435,-3.6666666666666665
Sirolimus,Mitotane,DU-145,-1.1111111111111112
Sorafenib tosylate,Docetaxel,DU-145,12.222222222222221
Nilotinib,Tamoxifen citrate,MDA-MB-468,-6.222222222222222
Docetaxel,Tretinoin,T-47D,12.777777777777779
Quinacrine hydrochloride,Mitotane,T-47D,1.5555555555555556
Sorafenib tosylate,Romidepsin,T-47D,-0.2222222222222222
Nilotinib,Vinblastine sulfate (hydrate),IGROV1,-6.666666666666668
Paclitaxel,Tamoxifen citrate,HS 578T,46.55555555555557
Paclitaxel,Imatinib mesylate,MDA-MB-231/ATCC,1.4444444444444444
Dasatinib,Paclitaxel,SF-539,-1.3333333333333333
Vinblastine sulfate (hydrate),Everolimus,MDA-MB-435,-4.777777777777779
Everolimus,Cladribine,BT-549,-2.555555555555556
Vinblastine sulfate (hydrate),Dasatinib,PC-3,0.5555555555555556
Sorafenib tosylate,Cladribine,DU-145,-8.888888888888891
Paclitaxel,Celecoxib,A498,4.777777777777779
Fulvestrant,Romidepsin,SF-539,2.555555555555556
Fulvestrant,Cladribine,NCI-H226,-11.888888888888893
Mitotane,Everolimus,NCI-H460,4.0
Imatinib mesylate,Celecoxib,PC-3,-3.333333333333333
Docetaxel,Fulvestrant,MDA-MB-231/ATCC,7.888888888888887
Sirolimus,Mitotane,HL-60(TB),-1.8888888888888888
Docetaxel,Sirolimus,MDA-MB-231/ATCC,4.666666666666667
Sirolimus,Tamoxifen citrate,NCI-H226,0.5555555555555556
Vinblastine sulfate (hydrate),Everolimus,HOP-92,-9.333333333333334
Everolimus,Vorinostat,NCI-H522,-6.777777777777778
Everolimus,Paclitaxel,HT29,9.111111111111107
Quinacrine hydrochloride,Sirolimus,NCI-H322M,-3.2222222222222223
Thalidomide,Sirolimus,NCI-H322M,-2.1111111111111107
Fulvestrant,Dasatinib,PC-3,-1.3333333333333333
Fulvestrant,Paclitaxel,SK-OV-3,-9.888888888888893
Romidepsin,Nilotinib,RPMI-8226,-0.1111111111111111
Romidepsin,Imatinib mesylate,SK-MEL-28,0.1111111111111111
Romidepsin,Celecoxib,SK-MEL-5,-8.0
Docetaxel,Nilotinib,MDA-MB-231/ATCC,-15.0
Paclitaxel,Celecoxib,SW-620,8.777777777777779
Sorafenib tosylate,Nilotinib,U251,-11.222222222222221
Mitotane,Celecoxib,A498,0.3333333333333333
Vinblastine sulfate (hydrate),Vorinostat,NCI-H322M,-1.2222222222222223
Sorafenib tosylate,Vorinostat,HOP-62,-5.111111111111111
Vinblastine sulfate (hydrate),Tretinoin,MALME-3M,5.0
Vorinostat,Sirolimus,HCT-116,-6.5555555555555545
Dasatinib,Sirolimus,RPMI-8226,-8.444444444444445
Everolimus,Paclitaxel,U251,3.111111111111111
Nilotinib,Celecoxib,NCI-H522,-4.777777777777779
Dasatinib,Cladribine,PC-3,-3.0
Romidepsin,Tretinoin,MALME-3M,0.4444444444444444
Fulvestrant,Romidepsin,BT-549,10.0
Everolimus,Tretinoin,DU-145,-2.333333333333333
Everolimus,Romidepsin,BT-549,1.0
Quinacrine hydrochloride,Paclitaxel,NCI-H226,-1.4444444444444444
Romidepsin,Docetaxel,T-47D,-1.7777777777777777
Sirolimus,Tamoxifen citrate,SK-OV-3,5.111111111111111
Vorinostat,Sirolimus,BT-549,-6.777777777777778
Romidepsin,Tretinoin,HCT-116,7.333333333333332
Sorafenib tosylate,Imatinib mesylate,UACC-62,-7.666666666666668
Vorinostat,Vinblastine sulfate (hydrate),SF-268,-18.22222222222221
Fulvestrant,Paclitaxel,SF-268,-4.333333333333333
