Drug A,Drug B,Cell Line Name,Score
Sorafenib tosylate,Nilotinib,SF-268,-4.4444444444444455
Mitotane,Docetaxel,IGROV1,6.777777777777778
Romidepsin,Vinblastine sulfate (hydrate),OVCAR-4,-0.8888888888888888
Vinblastine sulfate (hydrate),Celecoxib,ACHN,-3.2222222222222223
Everolimus,Romidepsin,NCI-H226,1.0
Mitotane,Dasatinib,T-47D,-7.4444444444444455
Vinblastine sulfate (hydrate),Tretinoin,SF-295,-1.0
Everolimus,Vorinostat,HL-60(TB),2.555555555555556
Dasatinib,Celecoxib,HL-60(TB),1.3333333333333333
Fulvestrant,Paclitaxel,OVCAR-8,-2.555555555555556
Vorinostat,Vinblastine sulfate (hydrate),HS 578T,0.8888888888888888
Vinblastine sulfate (hydrate),Vorinostat,ACHN,-3.2222222222222223
Docetaxel,Fulvestrant,MDA-MB-231/ATCC,7.888888888888887
Vinblastine sulfate (hydrate),Celecoxib,MCF7,-5.333333333333333
Romidepsin,Tamoxifen citrate,OVCAR-8,-8.777777777777779
Vinblastine sulfate (hydrate),Romidepsin,IGROV1,-5.111111111111111
Dasatinib,Celecoxib,NCI-H460,-3.555555555555556
Vinblastine sulfate (hydrate),Imatinib mesylate,DU-145,-5.0
Vorinostat,Sirolimus,SK-MEL-5,-4.333333333333333
Thalidomide,Tamoxifen citrate,SK-OV-3,0.8888888888888888
Vinblastine sulfate (hydrate),Romidepsin,UACC-257,-3.0
Mitotane,Imatinib mesylate,U251,-9.444444444444443
Docetaxel,Tamoxifen citrate,IGROV1,18.33333333333333
Dasatinib,Paclitaxel,NCI-H322M,3.7777777777777777
Nilotinib,Mitotane,OVCAR-3,-8.666666666666666
Gefitinib,Lenalidomide,IGROV1,-2.888888888888889
Quinacrine hydrochloride,Tamoxifen citrate,A498,-5.333333333333333
Quinacrine hydrochloride,Paclitaxel,NCI-H460,7.0
Quinacrine hydrochloride,Tamoxifen citrate,UACC-257,-7.1111111111111125
Quinacrine hydrochloride,Cladribine,T-47D,-2.6666666666666665
Sorafenib tosylate,Vorinostat,UACC-62,-7.777777777777778
Everolimus,Nilotinib,MDA-MB-231/ATCC,-25.222222222222207
Thalidomide,Tamoxifen citrate,NCI-H226,1.2222222222222223
Sorafenib tosylate,Everolimus,SF-268,-7.555555555555554
Paclitaxel,Tamoxifen citrate,HS 578T,46.55555555555557
Nilotinib,Tamoxifen citrate,NCI-H226,-2.2222222222222223
Mitotane,Celecoxib,HS 578T,-3.6666666666666665
Docetaxel,Cladribine,HCT-116,-6.777777777777778
Vinblastine sulfate (hydrate),Cladribine,OVCAR-8,3.4444444444444446
Quinacrine hydrochloride,Paclitaxel,OVCAR-8,-6.333333333333332
Quinacrine hydrochloride,Tamoxifen citrate,SF-539,-3.6666666666666665
Sirolimus,Cladribine,OVCAR-4,-5.0
Fulvestrant,Sirolimus,BT-549,-2.555555555555556
Vorinostat,Celecoxib,OVCAR-8,-3.6666666666666665
Dasatinib,Tretinoin,UACC-257,-1.4444444444444444
Everolimus,Paclitaxel,SW-620,10.111111111111107
Vinblastine sulfate (hydrate),Nilotinib,BT-549,3.0
Dasatinib,Imatinib mesylate,U251,-8.888888888888891
Mitotane,Docetaxel,HOP-92,-10.222222222222221
Vorinostat,Paclitaxel,DU-145,0.5555555555555556
Everolimus,Nilotinib,BT-549,-4.111111111111111
Sorafenib tosylate,Tamoxifen citrate,IGROV1,-1.7777777777777777
Paclitaxel,Celecoxib,SW-620,8.777777777777779
Fulvestrant,Vorinostat,HT29,1.1111111111111112
Dasatinib,Tamoxifen citrate,IGROV1,16.77777777777778
Quinacrine hydrochloride,Cladribine,DU-145,-8.222222222222221
Fulvestrant,Paclitaxel,EKVX,-2.333333333333333
Nilotinib,Mitotane,NCI-H226,-1.6666666666666667
Vinblastine sulfate (hydrate),Vorinostat,NCI-H23,-0.6666666666666666
Mitotane,Celecoxib,KM12,-10.222222222222221
Vinblastine sulfate (hydrate),Cladribine,A549/ATCC,-6.888888888888888
Fulvestrant,Cladribine,HL-60(TB),0.0
Romidepsin,Celecoxib,NCI-H522,-2.7777777777777777
Docetaxel,Celecoxib,OVCAR-8,8.666666666666666
Everolimus,Tretinoin,UACC-257,-6.777777777777778
Dasatinib,Vorinostat,A498,0.0
Imatinib mesylate,Cladribine,RPMI-8226,1.5555555555555556
Fulvestrant,Vorinostat,SF-268,-1.2222222222222223
Vorinostat,Tretinoin,NCI-H522,-2.555555555555556
Vinblastine sulfate (hydrate),Celecoxib,OVCAR-3,0.8888888888888888
Vinblastine sulfate (hydrate),Everolimus,NCI-H23,-5.5555555555555545
Fulvestrant,Cladribine,OVCAR-3,2.4444444444444446
Vorinostat,Paclitaxel,OVCAR-3,0.8888888888888888
Romidepsin,Sirolimus,MDA-MB-468,0.8888888888888888
Vorinostat,Vinblastine sulfate (hydrate),NCI-H322M,-2.6666666666666665
Fulvestrant,Paclitaxel,LOX IMVI,-20.88888888888889
Everolimus,Docetaxel,MDA-MB-231/ATCC,5.0
Fulvestrant,Vorinostat,KM12,-5.222222222222221
Sorafenib tosylate,Docetaxel,MDA-MB-468,7.888888888888887
Fulvestrant,Vorinostat,ACHN,-3.555555555555556
Romidepsin,Vinblastine sulfate (hydrate),SW-620,-1.3333333333333333
Fulvestrant,Nilotinib,SK-MEL-28,0.2222222222222222
Vinblastine sulfate (hydrate),Tamoxifen citrate,MCF7,6.222222222222222
Sorafenib tosylate,Tamoxifen citrate,A549/ATCC,-1.8888888888888888
Mitotane,Sirolimus,CAKI-1,-7.333333333333332
Imatinib mesylate,Tamoxifen citrate,ACHN,-3.0
Gefitinib,Lenalidomide,HL-60(TB),-1.5555555555555556
Fulvestrant,Cladribine,SW-620,0.3333333333333333
Sorafenib tosylate,Everolimus,ACHN,-11.0
Cladribine,Celecoxib,LOX IMVI,-1.2222222222222223
Sorafenib tosylate,Vorinostat,MDA-MB-468,-8.777777777777779
Quinacrine hydrochloride,Vinblastine sulfate (hydrate),U251,-0.4444444444444444
Mitotane,Tretinoin,NCI-H460,1.1111111111111112
Everolimus,Imatinib mesylate,NCI-H522,-6.666666666666668
Vorinostat,Romidepsin,NCI-H226,-9.111111111111107
Fulvestrant,Paclitaxel,SK-OV-3,-9.888888888888893
Nilotinib,Celecoxib,EKVX,-10.0
Romidepsin,Tretinoin,LOX IMVI,-5.333333333333333
Romidepsin,Tamoxifen citrate,SF-268,-4.4444444444444455
Vinblastine sulfate (hydrate),Dasatinib,SF-295,-1.0
Sirolimus,Tretinoin,MDA-MB-231/ATCC,-1.2222222222222223
Romidepsin,Tamoxifen citrate,UACC-257,4.333333333333333
Quinacrine hydrochloride,Sirolimus,SK-MEL-28,-4.111111111111111
Vinblastine sulfate (hydrate),Dasatinib,NCI-H23,3.0
Thalidomide,Tretinoin,SK-OV-3,-3.888888888888889
Sirolimus,Mitotane,ACHN,9.444444444444443
Everolimus,Cladribine,UACC-257,-3.555555555555556
Dasatinib,Sirolimus,OVCAR-4,-2.7777777777777777
Fulvestrant,Cladribine,ACHN,0.3333333333333333
Sorafenib tosylate,Dasatinib,HOP-92,1.0
Everolimus,Dasatinib,LOX IMVI,-6.0
Sorafenib tosylate,Dasatinib,HOP-62,-6.0
Thalidomide,Tamoxifen citrate,K-562,-13.777777777777779
Everolimus,Paclitaxel,SK-MEL-28,-1.6666666666666667
Mitotane,Tamoxifen citrate,MDA-MB-231/ATCC,2.0
Vinblastine sulfate (hydrate),Dasatinib,IGROV1,4.111111111111111
Paclitaxel,Celecoxib,K-562,28.44444444444445
Vinblastine sulfate (hydrate),Tretinoin,A498,0.1111111111111111
Fulvestrant,Everolimus,BT-549,23.33333333333333
Fulvestrant,Imatinib mesylate,CAKI-1,-9.222222222222221
Paclitaxel,Tamoxifen citrate,SF-268,10.555555555555557
Mitotane,Sirolimus,HOP-62,-10.555555555555557
Fulvestrant,Tretinoin,NCI-H460,-0.2222222222222222
Mitotane,Cladribine,MDA-MB-468,-4.777777777777779
Sorafenib tosylate,Tamoxifen citrate,NCI-H23,-9.0
Mitotane,Cladribine,A549/ATCC,-13.0
Mitotane,Tamoxifen citrate,MDA-MB-468,-5.5555555555555545
Romidepsin,Vinblastine sulfate (hydrate),LOX IMVI,-0.8888888888888888
Vinblastine sulfate (hydrate),Everolimus,K-562,6.222222222222222
Vinblastine sulfate (hydrate),Dasatinib,HT29,-2.555555555555556
Nilotinib,Vinblastine sulfate (hydrate),UACC-257,-2.7777777777777777
Vinblastine sulfate (hydrate),Celecoxib,A549/ATCC,-8.333333333333334
Docetaxel,Cladribine,OVCAR-3,-4.0
Dasatinib,Vorinostat,T-47D,3.555555555555556
Nilotinib,Tamoxifen citrate,DU-145,-3.7777777777777777
Thalidomide,Cladribine,CAKI-1,-8.666666666666666
Sorafenib tosylate,Tretinoin,DU-145,15.222222222222221
Romidepsin,Celecoxib,T-47D,0.1111111111111111
Fulvestrant,Tamoxifen citrate,CAKI-1,-7.666666666666668
Vinblastine sulfate (hydrate),Cladribine,SF-295,-6.666666666666668
Quinacrine hydrochloride,Tretinoin,SF-268,-5.0
Romidepsin,Imatinib mesylate,IGROV1,8.777777777777779
Paclitaxel,Sirolimus,NCI-H226,0.8888888888888888
Sorafenib tosylate,Tretinoin,ACHN,3.0
Fulvestrant,Everolimus,EKVX,-6.888888888888888
Quinacrine hydrochloride,Paclitaxel,LOX IMVI,-3.4444444444444446
Sorafenib tosylate,Sirolimus,HOP-92,-5.888888888888888
Vinblastine sulfate (hydrate),Dasatinib,SW-620,-5.333333333333333
Mitotane,Sirolimus,NCI-H522,-1.4444444444444444
Everolimus,Sirolimus,HS 578T,-3.888888888888889
Fulvestrant,Tretinoin,HOP-92,-4.777777777777779
Everolimus,Dasatinib,OVCAR-3,-12.444444444444445
Nilotinib,Tretinoin,OVCAR-4,-8.888888888888891
Dasatinib,Imatinib mesylate,A549/ATCC,1.1111111111111112
Vinblastine sulfate (hydrate),Imatinib mesylate,SW-620,-8.444444444444445
Mitotane,Nilotinib,HOP-62,-9.333333333333334
Quinacrine hydrochloride,Docetaxel,EKVX,-5.4444444444444455
Sorafenib tosylate,Cladribine,SF-295,-5.4444444444444455
Dasatinib,Tamoxifen citrate,NCI-H322M,-1.8888888888888888
Thalidomide,Vinblastine sulfate (hydrate),UACC-257,-3.333333333333333
Sorafenib tosylate,Nilotinib,UACC-257,-4.2222222222222205
Dasatinib,Cladribine,A498,-0.3333333333333333
Everolimus,Cladribine,HL-60(TB),-8.555555555555555
Paclitaxel,Celecoxib,NCI-H460,24.11111111111111
Tretinoin,Celecoxib,KM12,4.111111111111111
Sorafenib tosylate,Imatinib mesylate,PC-3,-7.222222222222222
Everolimus,Tretinoin,HS 578T,2.555555555555556
Mitotane,Dasatinib,HCT-15,-7.222222222222222
Dasatinib,Imatinib mesylate,T-47D,-6.888888888888888
Paclitaxel,Sirolimus,UACC-257,4.2222222222222205
Vorinostat,Nilotinib,NCI-H460,-8.888888888888891
Imatinib mesylate,Tretinoin,OVCAR-4,-2.4444444444444446
Vorinostat,Romidepsin,SF-539,4.2222222222222205
Thalidomide,Docetaxel,UACC-257,-11.0
Quinacrine hydrochloride,Cladribine,ACHN,-0.3333333333333333
Everolimus,Imatinib mesylate,HL-60(TB),-27.44444444444445
Paclitaxel,Cladribine,NCI-H460,-3.2222222222222223
Vorinostat,Tamoxifen citrate,OVCAR-8,-8.666666666666666
Vinblastine sulfate (hydrate),Cladribine,NCI-H460,0.4444444444444444
Mitotane,Cladribine,SF-268,1.3333333333333333
Nilotinib,Celecoxib,SF-295,-8.777777777777779
Fulvestrant,Cladribine,NCI-H23,-1.2222222222222223
Sorafenib tosylate,Cladribine,NCI-H460,-4.2222222222222205
Tamoxifen citrate,Celecoxib,SF-268,-1.1111111111111112
Paclitaxel,Celecoxib,HT29,26.0
Romidepsin,Sirolimus,LOX IMVI,-4.666666666666667
Vinblastine sulfate (hydrate),Tamoxifen citrate,HCT-15,3.2222222222222223
Sorafenib tosylate,Dasatinib,SF-295,-5.0
Sorafenib tosylate,Dasatinib,MCF7,-4.888888888888889
Sirolimus,Celecoxib,IGROV1,4.777777777777779
Sorafenib tosylate,Tamoxifen citrate,MDA-MB-468,0.0
Vorinostat,Vinblastine sulfate (hydrate),NCI-H522,-5.222222222222221
Mitotane,Imatinib mesylate,LOX IMVI,-0.7777777777777778
Mitotane,Imatinib mesylate,NCI-H522,-4.0
Nilotinib,Imatinib mesylate,SF-268,-7.666666666666668
Imatinib mesylate,Cladribine,SK-OV-3,-2.7777777777777777
Romidepsin,Docetaxel,SK-MEL-5,-1.4444444444444444
Quinacrine hydrochloride,Tretinoin,ACHN,-2.1111111111111107
Tamoxifen citrate,Celecoxib,HOP-62,-3.2222222222222223
Mitotane,Dasatinib,NCI-H226,1.0
Sorafenib tosylate,Paclitaxel,MDA-MB-231/ATCC,11.0
Fulvestrant,Imatinib mesylate,SK-MEL-28,-3.555555555555556
Mitotane,Imatinib mesylate,UO-31,-8.888888888888891
Mitotane,Imatinib mesylate,T-47D,-10.333333333333334
Thalidomide,Cladribine,NCI-H522,-1.5555555555555556
Dasatinib,Imatinib mesylate,HT29,-1.4444444444444444
Everolimus,Cladribine,MCF7,-0.8888888888888888
Dasatinib,Imatinib mesylate,UO-31,-0.1111111111111111
Dasatinib,Cladribine,A549/ATCC,2.6666666666666665
Sirolimus,Tamoxifen citrate,DU-145,-5.666666666666668
Thalidomide,Cladribine,NCI-H23,-13.555555555555555
Nilotinib,Tamoxifen citrate,T-47D,-9.111111111111107
Fulvestrant,Paclitaxel,UACC-62,-4.2222222222222205
Dasatinib,Celecoxib,K-562,46.33333333333334
Fulvestrant,Cladribine,BT-549,-3.111111111111111
Sorafenib tosylate,Vorinostat,K-562,-15.444444444444445
Romidepsin,Nilotinib,OVCAR-3,-13.666666666666664
Romidepsin,Docetaxel,RPMI-8226,4.666666666666667
Everolimus,Dasatinib,HL-60(TB),4.2222222222222205
Everolimus,Vorinostat,NCI-H522,-6.777777777777778
Nilotinib,Mitotane,U251,-12.0
Mitotane,Everolimus,A549/ATCC,3.4444444444444446
Vinblastine sulfate (hydrate),Nilotinib,A498,-3.7777777777777777
Mitotane,Dasatinib,HT29,-2.7777777777777777
Tretinoin,Celecoxib,MCF7,-2.2222222222222223
Quinacrine hydrochloride,Sirolimus,UO-31,1.3333333333333333
Mitotane,Docetaxel,NCI-H460,18.11111111111111
Docetaxel,Nilotinib,NCI-H460,8.777777777777779
Mitotane,Docetaxel,MDA-MB-468,7.666666666666668
Mitotane,Sirolimus,A498,2.333333333333333
Paclitaxel,Tamoxifen citrate,NCI-H322M,0.7777777777777778
Vorinostat,Cladribine,SK-MEL-5,1.5555555555555556
Thalidomide,Tretinoin,OVCAR-4,-2.0
Everolimus,Sirolimus,A498,2.0
Mitotane,Everolimus,U251,-3.888888888888889
Cladribine,Celecoxib,UO-31,-2.0
Gefitinib,Lenalidomide,RPMI-8226,7.555555555555554
Sorafenib tosylate,Vorinostat,HT29,-3.111111111111111
Nilotinib,Tamoxifen citrate,NCI-H23,-3.7777777777777777
Sorafenib tosylate,Tretinoin,SW-620,-5.888888888888888
Mitotane,Docetaxel,T-47D,-7.555555555555554
Thalidomide,Mitotane,SK-OV-3,-3.111111111111111
Nilotinib,Celecoxib,HL-60(TB),-38.333333333333336
Romidepsin,Celecoxib,DU-145,-4.111111111111111
Vorinostat,Imatinib mesylate,IGROV1,-7.888888888888887
Vorinostat,Celecoxib,HT29,1.2222222222222223
Mitotane,Imatinib mesylate,SF-268,-5.222222222222221
Romidepsin,Tamoxifen citrate,SK-MEL-28,2.4444444444444446
Fulvestrant,Celecoxib,DU-145,-16.333333333333332
Tamoxifen citrate,Tretinoin,K-562,-5.5555555555555545
Vorinostat,Paclitaxel,NCI-H322M,-25.0
Vorinostat,Nilotinib,SK-MEL-28,-37.888888888888886
Sorafenib tosylate,Everolimus,UO-31,-6.666666666666668
Fulvestrant,Cladribine,MDA-MB-468,-6.5555555555555545
Vorinostat,Cladribine,K-562,1.2222222222222223
Romidepsin,Paclitaxel,SF-268,5.222222222222221
Romidepsin,Celecoxib,OVCAR-3,-0.3333333333333333
Dasatinib,Imatinib mesylate,OVCAR-3,5.222222222222221
Fulvestrant,Tamoxifen citrate,SK-MEL-5,-0.3333333333333333
Paclitaxel,Nilotinib,DU-145,12.333333333333336
Thalidomide,Tamoxifen citrate,HL-60(TB),-4.5555555555555545
Mitotane,Tamoxifen citrate,UACC-62,-3.333333333333333
Quinacrine hydrochloride,Mitotane,HS 578T,0.5555555555555556
Docetaxel,Tamoxifen citrate,HCT-116,31.777777777777786
Romidepsin,Tretinoin,OVCAR-3,-2.888888888888889
Gefitinib,Lenalidomide,LOX IMVI,-6.222222222222222
Quinacrine hydrochloride,Tretinoin,MDA-MB-231/ATCC,-1.4444444444444444
Sorafenib tosylate,Romidepsin,MDA-MB-231/ATCC,2.555555555555556
Fulvestrant,Tamoxifen citrate,NCI-H460,-0.1111111111111111
Romidepsin,Docetaxel,HT29,-1.7777777777777777
Dasatinib,Nilotinib,MDA-MB-468,-11.666666666666664
Tamoxifen citrate,Celecoxib,OVCAR-4,-2.2222222222222223
Vinblastine sulfate (hydrate),Celecoxib,K-562,8.888888888888891
Everolimus,Tamoxifen citrate,T-47D,7.222222222222222
Dasatinib,Paclitaxel,A549/ATCC,2.4444444444444446
Sorafenib tosylate,Tamoxifen citrate,HCT-116,-3.111111111111111
Paclitaxel,Celecoxib,NCI-H226,14.333333333333336
Romidepsin,Nilotinib,LOX IMVI,-9.666666666666666
Cladribine,Celecoxib,DU-145,0.4444444444444444
Vorinostat,Paclitaxel,HCT-116,-7.0
Sorafenib tosylate,Cladribine,NCI-H522,-11.444444444444445
Dasatinib,Romidepsin,IGROV1,-5.0
Thalidomide,Docetaxel,MDA-MB-231/ATCC,0.4444444444444444
Sirolimus,Cladribine,K-562,-2.1111111111111107
Mitotane,Cladribine,UACC-257,-15.666666666666664
Vorinostat,Sirolimus,KM12,-4.2222222222222205
Romidepsin,Imatinib mesylate,NCI-H460,1.8888888888888888
Dasatinib,Imatinib mesylate,HS 578T,16.333333333333332
Nilotinib,Vinblastine sulfate (hydrate),K-562,-16.555555555555557
Cladribine,Celecoxib,U251,-5.111111111111111
Everolimus,Vorinostat,MDA-MB-231/ATCC,-0.7777777777777778
Vinblastine sulfate (hydrate),Nilotinib,NCI-H23,-1.5555555555555556
Vorinostat,Imatinib mesylate,OVCAR-4,-4.666666666666667
Paclitaxel,Celecoxib,IGROV1,17.444444444444443
Sirolimus,Celecoxib,MDA-MB-468,20.11111111111111
Everolimus,Docetaxel,BT-549,6.4444444444444455
Docetaxel,Nilotinib,SW-620,7.888888888888887
Vinblastine sulfate (hydrate),Tamoxifen citrate,UACC-62,15.333333333333336
Romidepsin,Docetaxel,HCT-116,8.444444444444445
Vinblastine sulfate (hydrate),Tretinoin,SF-268,3.555555555555556
Mitotane,Paclitaxel,MDA-MB-231/ATCC,-4.111111111111111
Thalidomide,Cladribine,HS 578T,-4.777777777777779
Everolimus,Docetaxel,UACC-62,5.5555555555555545
Sirolimus,Imatinib mesylate,HCT-116,-11.111111111111107
Fulvestrant,Romidepsin,OVCAR-3,9.555555555555557
Everolimus,Sirolimus,T-47D,-6.333333333333332
Romidepsin,Imatinib mesylate,RPMI-8226,1.7777777777777777
Vorinostat,Paclitaxel,OVCAR-4,-8.0
Vorinostat,Paclitaxel,HT29,-18.777777777777786
Sirolimus,Tretinoin,OVCAR-3,-2.4444444444444446
Everolimus,Nilotinib,UO-31,-2.6666666666666665
Vorinostat,Docetaxel,DU-145,-3.111111111111111
Sirolimus,Imatinib mesylate,KM12,-10.666666666666666
Docetaxel,Paclitaxel,K-562,-3.888888888888889
Tamoxifen citrate,Cladribine,NCI-H322M,-2.7777777777777777
Vinblastine sulfate (hydrate),Nilotinib,SW-620,0.3333333333333333
Vinblastine sulfate (hydrate),Sirolimus,HT29,-1.0
Nilotinib,Vinblastine sulfate (hydrate),U251,-2.555555555555556
Quinacrine hydrochloride,Docetaxel,HOP-92,-9.222222222222221
Vorinostat,Celecoxib,T-47D,-7.333333333333332
Vorinostat,Docetaxel,UO-31,0.6666666666666666
Quinacrine hydrochloride,Docetaxel,U251,3.2222222222222223
Quinacrine hydrochloride,Tretinoin,PC-3,-6.1111111111111125
Vorinostat,Cladribine,SW-620,-3.333333333333333
Thalidomide,Tretinoin,NCI-H522,-2.888888888888889
Dasatinib,Cladribine,HT29,-9.333333333333334
Dasatinib,Imatinib mesylate,IGROV1,10.555555555555557
Docetaxel,Fulvestrant,IGROV1,0.4444444444444444
Sorafenib tosylate,Dasatinib,HS 578T,3.888888888888889
Sorafenib tosylate,Nilotinib,SK-MEL-5,-4.2222222222222205
Vorinostat,Romidepsin,BT-549,-0.6666666666666666
Dasatinib,Vorinostat,UACC-62,1.4444444444444444
Paclitaxel,Cladribine,PC-3,-5.888888888888888
Nilotinib,Celecoxib,UACC-257,-2.0
Fulvestrant,Tamoxifen citrate,KM12,-12.777777777777779
Fulvestrant,Tamoxifen citrate,PC-3,-1.1111111111111112
